is_open,stars,American,Mexican,Italian,Japanese,Chinese,Thai,Mediterranean,French,Vietnamese,Greek,Indian,Korean,Hawaiian,African,Spanish,Middle Eastern,Other,age,review_count_16_19,review_normalized,pos,neg,neutral,pos_norm,neg_norm,neutral_norm,bi_goodfood_text,bi_goodloc_text,bi_bad_text,Delivery,RestaurantsPriceRange2,OutdoorSeating,HasTV,Touristy,Hipster,Romantic,Divey,Intimate,Trendy,Upscale,Classy,Casual,Alc_None_served,Alc_beer_and_wine,Alc_full_bar,open_breakfast,open_lunch,open_dinner,open_hours_meals,displayed_open_hours,is_crowded,is_chain,operation_years
1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,204,29.14,98,77,29,14,11,4.14,47,25,21,1,2,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,3,1,1,1,0
1,3.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,319,63.8,185,73,61,37,14.6,12.2,96,45,29,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,3,1,1,1,0
0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,26,8.67,18,7,1,6,2.33,0.33,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,1
0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,15,7.5,13,1,1,6.5,0.5,0.5,2,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,1,1,0,2
0,3.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,68,13.6,35,20,13,7,4,2.6,38,25,4,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,2
1,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,248,31,199,26,23,24.88,3.25,2.88,8,25,6,0,2,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,3,1,1,1,0
1,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,90,22.5,72,7,11,18,1.75,2.75,9,16,2,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,3,1,1,1,0
1,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,106,13.25,64,28,14,8,3.5,1.75,26,14,10,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,2,1,1,0,0
1,4.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,29,3.62,20,4,5,2.5,0.5,0.62,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0
1,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,256,51.2,128,89,39,25.6,17.8,7.8,33,26,18,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,2,1,1,0,0
1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,111,13.88,77,18,16,9.62,2.25,2,32,22,6,1,2,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,2,1,1,1,0
1,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,361,27.77,292,31,38,22.46,2.38,2.92,115,86,17,1,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,2,1,1,1,0
1,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,14,1.75,8,6,0,1,0.75,0,8,3,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0
0,3.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,78,5.57,43,23,12,3.07,1.64,0.86,18,19,9,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,2,1,1,0,3
0,3.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,55,4.58,38,9,8,3.17,0.75,0.67,7,6,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,3,1,1,0,3
0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,31,2.58,26,4,1,2.17,0.33,0.08,1,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,1,1,0,3
1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,201,25.12,166,26,9,20.75,3.25,1.12,29,35,16,0,3,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0
0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,11,2.75,9,2,0,2.25,0.5,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,2
0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,211,52.75,138,36,37,34.5,9,9.25,60,23,11,0,2,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,2,1,1,0,3
1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,13,1.3,8,5,0,0.8,0.5,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,71,23.67,53,14,4,17.67,4.67,1.33,20,7,3,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,2
1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,34,4.25,14,19,1,1.75,2.38,0.12,3,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0
1,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,166,12.77,125,29,12,9.62,2.23,0.92,43,24,9,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,0
1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,168,16.8,104,42,22,10.4,4.2,2.2,38,29,13,1,2,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,0
1,4.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,157,26.17,133,17,7,22.17,2.83,1.17,34,5,5,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0
1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,119,9.15,100,13,6,7.69,1,0.46,24,12,7,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2,1,1,0,0
0,3.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,48,3.69,24,20,4,1.85,1.54,0.31,9,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,3
1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,118,23.6,93,16,9,18.6,3.2,1.8,21,11,7,1,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,1,1,0,0
1,2.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,129,21.5,50,65,14,8.33,10.83,2.33,27,20,14,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0
1,3.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,125,8.93,61,43,21,4.36,3.07,1.5,51,17,13,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,2,1,1,0,0
0,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,27,9,26,1,0,8.67,0.33,0,5,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2,1,1,0,2
1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,48,4,19,23,6,1.58,1.92,0.5,11,5,4,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2,1,1,0,0
1,4.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,338,67.6,319,11,8,63.8,2.2,1.6,60,30,7,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0
